"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"ST_MANUAL_FUND","RECORD_ID","NUMBER","","N","SYS_C00101355","记录编号","退款资金变动"
"ST_MANUAL_FUND","RECORD_ID","NUMBER","","N","PK_MANUAL_FUND","记录编号","退款资金变动"
"ST_MANUAL_FUND","ACCOUNT_ID","VARCHAR2","","N","SYS_C00101356","账号编号","退款资金变动"
"ST_MANUAL_FUND","CREATED_TIME","DATE","","N","SYS_C00101357","创建时间","退款资金变动"
"ST_MANUAL_FUND","BALANCE","NUMBER","","N","SYS_C00101358","金额","退款资金变动"
"ST_MANUAL_FUND","SYNC_STATUS","NUMBER","","N","SYS_C00101359","同步状态:20-等待处理","退款资金变动"
"ST_MANUAL_FUND","SYNC_TIME","DATE","","Y","","同步时间","退款资金变动"
"ST_MANUAL_FUND","SYNC_COUNT","NUMBER","","N","SYS_C00101360","同步次数","退款资金变动"
"ST_MANUAL_FUND","REFUND_ID","NUMBER","","N","SYS_C00101361","退款编号","退款资金变动"
"ST_MANUAL_FUND","ERROR_MSG","VARCHAR2","","Y","","同步消息","退款资金变动"
"ST_MANUAL_FUND","POUNDAGE","NUMBER","","Y","","手续费","退款资金变动"
"ST_MANUAL_FUND","ORDER_NO","VARCHAR2","","Y","","订单号","退款资金变动"
"ST_MANUAL_FUND","USER_ID","VARCHAR2","","Y","","用户编号","退款资金变动"
"ST_DOWN_STINTRULE","RULE_ID","NUMBER","20","N","SYS_C00100449","规则流水号","下游渠道限制规则信息"
"ST_DOWN_STINTRULE","RULE_ID","NUMBER","20","N","PK_SMS_DOWN_STINTRULE","规则流水号","下游渠道限制规则信息"
"ST_DOWN_STINTRULE","CHANNEL_NO","VARCHAR2","","N","SYS_C00100450","渠道编号","下游渠道限制规则信息"
"ST_DOWN_STINTRULE","RULE_TYPE","NUMBER","20","N","SYS_C00100451","规则类型","下游渠道限制规则信息"
"ST_DOWN_STINTRULE","TIME_SECTION","NUMBER","20","N","SYS_C00100452","时间段最近多少秒","下游渠道限制规则信息"
"ST_DOWN_STINTRULE","RULE_VALUE","NUMBER","","N","SYS_C00100453","限制值","下游渠道限制规则信息"
"ST_DOWN_STINTRULE","STATUS","NUMBER","1","N","SYS_C00100454","状态","下游渠道限制规则信息"
"ST_DOWN_STINTRULE","UPDATE_TIME","DATE","","N","SYS_C00100455","最后修改时间","下游渠道限制规则信息"
"ST_UP_PAY_RATE","UP_CHANNEL_NO","VARCHAR2","","N","SYS_C00100456","上游渠道编号","上游充值频率"
"ST_UP_PAY_RATE","LIMIT_CATEGORY","NUMBER","","N","SYS_C00100457","限制类型:0-最近的总绑定数  1-最近的充值号码数","上游充值频率"
"ST_UP_PAY_RATE","TIME_PERIOD","NUMBER","","N","SYS_C00100458","限制时长","上游充值频率"
"ST_UP_PAY_RATE","PAY_CNTR","NUMBER","","N","SYS_C00100459","充值次数","上游充值频率"
"ST_UP_PAY_RATE","STATE","NUMBER","","N","SYS_C00100460","状态：0-打开 1-关闭","上游充值频率"
"ST_UP_PAY_RATE","PROVINCE_NO","VARCHAR2","","N","SYS_C00100461","省编号","上游充值频率"
"ST_UP_PAY_RATE","RATE_ID","NUMBER","20","N","PK_RATE_ID","编号","上游充值频率"
"ST_UP_PAY_RATE","CARRIER_NO","VARCHAR2","","Y","","运营商","上游充值频率"
"ST_UP_PAY_RATE","FACE","NUMBER","5","Y","","面值","上游充值频率"
"ST_UP_PAY_RATE","CITY_NO","VARCHAR2","","Y","","市","上游充值频率"
