"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"DC_CARD_CHECK","CARRIER_NO","VARCHAR2","","Y","","运营商","卡确认记录表"
"DC_PARTNER_INFO","WARN_COUNT","NUMBER","","Y","","卡单告警阀值","商户信息表"
"DC_CARD_MAINTAIN","RECORD_ID","NUMBER","20","N","PK_CARD_MAINTAIN","编号","卡维护省份"
"DC_CARD_MAINTAIN","CARRIER_NO","VARCHAR2","","N","SYS_C00108802","运营商","卡维护省份"
"DC_CARD_MAINTAIN","CARD_PROVINCE_NO","VARCHAR2","","N","SYS_C00108803","卡省份","卡维护省份"
"DC_CARD_MAINTAIN","BEGIN","DATE","","N","SYS_C00108804","开始时间","卡维护省份"
"DC_CARD_MAINTAIN","END","DATE","","N","SYS_C00108805","结束时间","卡维护省份"
"DC_CARD_MAINTAIN","REMARK","VARCHAR2","","N","SYS_C00108806","备注","卡维护省份"
"DC_CARD_MAINTAIN","CREATED_TIME","DATE","","N","SYS_C00108807","创建时间","卡维护省份"
"DC_CARD_MAINTAIN","IS_WARN","NUMBER","5","Y","","是否报警提示:1-未提示,0-已经提示","卡维护省份"
"DC_CARD_MAINTAIN","STATUS","NUMBER","1","Y","","是否可用:0-可用,1-不可用","卡维护省份"
"DC_CARD_MAINTAIN","IS_SYNC","NUMBER","1","Y","","收卡系统同步维护:0-维护,1-不维护","卡维护省份"
"DC_CARD_MAINTAIN","BUSINESS_TYPE","NUMBER","1","Y","","业务类型","卡维护省份"
"DC_CTRL_TEMP","PROVIDER_ID","NUMBER","20","N","SYS_C00108809"," 产品编号","控制的临时表"
"DC_CTRL_TEMP","CHANNEL_ERROR_COUNT","NUMBER","10","N","SYS_C00108810","除卡密的错误","控制的临时表"
"DC_CTRL_TEMP","ALL_ERROR_COUNT","NUMBER","10","N","SYS_C00108811","总错误","控制的临时表"
"DC_ORDER_COMPLAINT","ORDER_NO","VARCHAR2","","N","C_ORDER_NO","订单号","订单投诉记录"
"DC_ORDER_COMPLAINT","COMPLAINT_TIME","DATE","","N","SYS_C00108812","投诉时间","订单投诉记录"
"DC_ORDER_COMPLAINT","CREATED_USER","VARCHAR2","","N","SYS_C00108813","创建人","订单投诉记录"
"DC_ORDER_COMPLAINT","STATUS","NUMBER","3","N","SYS_C00108814","20-等待处理,0-处理成功","订单投诉记录"
"DC_ORDER_COMPLAINT","FINISH_TIME","DATE","","Y","","完成时间","订单投诉记录"
"DC_ORDER_COMPLAINT","REMARK","VARCHAR2","","N","SYS_C00108815","描述","订单投诉记录"
"DC_ORDER_COMPLAINT","CARD_NO","VARCHAR2","","N","SYS_C00108816","充值卡号","订单投诉记录"
"DC_ORDER_COMPLAINT","PHONE_NO","VARCHAR2","","N","SYS_C00108817","充值手机号","订单投诉记录"
"DC_ORDER_COMPLAINT","CARD_TYPE","NUMBER","","Y","","卡类型","订单投诉记录"
"DC_ORDER_COMPLAINT","PARNERT_ID","VARCHAR2","","Y","","商户编号","订单投诉记录"
"DC_ORDER_COMPLAINT_LOG","ORDER_NO","VARCHAR2","","Y","","订单号","投诉记录操作日志"
"DC_ORDER_COMPLAINT_LOG","USER_ID","VARCHAR2","","Y","","创建人","投诉记录操作日志"
"DC_ORDER_COMPLAINT_LOG","CREATED_TIME","DATE","","Y","","时间","投诉记录操作日志"
"DC_ORDER_COMPLAINT_LOG","REMARK","VARCHAR2","","Y","","备注","投诉记录操作日志"
"DC_ORDER_COMPLAINT_LOG","TYPE","NUMBER","4","Y","","类型:11-创建,12-普通处理,13-电话处理,14-重新投诉","投诉记录操作日志"
"DC_WARNING_CONFIG","PRC_NAME","VARCHAR2","","N","PK_WARN_ID","执行存储过程名称","告警配置"
"DC_WARNING_CONFIG","TITLE","VARCHAR2","","Y","","标题","告警配置"
