"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"DM_OPERATE_LOG","RECORD_ID","NUMBER","","N","PK_OPERATE_LOG_ID","记录编号","操作日志表"
"DM_OPERATE_LOG","RECORD_ID","NUMBER","","N","SYS_C00145509","记录编号","操作日志表"
"DM_OPERATE_DETAIL","RECORD_ID","NUMBER","","N","PK_ORPERATE_DETAIL_ID","记录编号","日志详情表"
"DM_OPERATE_DETAIL","RECORD_ID","NUMBER","","N","SYS_C00145507","记录编号","日志详情表"
"DM_OPERATE_LOG","USER_ID","VARCHAR2","","N","SYS_C00145424","用户编号","操作日志表"
"DM_OPERATE_LOG","BATCH_NO","NUMBER","","Y","","操作批次","操作日志表"
"DM_OPERATE_LOG","OPERATE_LOG","VARCHAR2","","N","SYS_C00145426","操作日志","操作日志表"
"DM_OPERATE_LOG","CREATE_TIME","DATE","","Y","","创建时间","操作日志表"
"DM_OPERATE_DETAIL","BATCH_NO","NUMBER","","N","SYS_C00145427","操作批次","日志详情表"
"DM_OPERATE_DETAIL","SERIAL_NO","VARCHAR2","","N","SYS_C00145428","系统流水号(order_no/bind_id/product_id/record_id)","日志详情表"
"DM_OPERATE_DETAIL","CREATE_TIME","DATE","","N","SYS_C00145429","创建时间","日志详情表"
"DM_SYSTEM_LOG","LOG_ID","NUMBER","20","N","PK_SYS_LOG_ID","日志编号","系统日志"
"DM_SYSTEM_LOG","LOG_ID","NUMBER","20","N","SYS_C00145430","日志编号","系统日志"
"DM_SYSTEM_LOG","OBJECT_NAME","VARCHAR2","","N","SYS_C00145431","对象名称","系统日志"
"DM_SYSTEM_LOG","ERROR_LEVEL","NUMBER","10","N","SYS_C00145432","错误等级","系统日志"
"DM_SYSTEM_LOG","ERROR_DESC","VARCHAR2","","N","SYS_C00145433","错误信息","系统日志"
"DM_SYSTEM_LOG","TRACE_INFO","VARCHAR2","","N","SYS_C00145434","堆栈信息","系统日志"
"DM_SYSTEM_LOG","CREATE_TIME","DATE","","N","SYS_C00145435","创建时间","系统日志"
"DM_SYSTEM_DICTIONARY","DIC_ID","NUMBER","10","N","PK_SYS_DIC_ID","字典编号","系统字典配置表"
"DM_SYSTEM_DICTIONARY","DIC_ID","NUMBER","10","N","SYS_C00145436","字典编号","系统字典配置表"
"DM_SYSTEM_DICTIONARY","TYPE","VARCHAR2","","N","SYS_C00145437","字典类型","系统字典配置表"
"DM_SYSTEM_DICTIONARY","NAME","VARCHAR2","","N","SYS_C00145438","字典名称","系统字典配置表"
"DM_SYSTEM_DICTIONARY","VALUE","VARCHAR2","","N","SYS_C00145439","字典值","系统字典配置表"
"DM_SYSTEM_CARRIER","CARRIER_NO","VARCHAR2","","N","PK_SYS_CARRIER_ID","运营商编号","系统运营商编号表"
