"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"TERMINAL","ZD_NAME","VARCHAR2","","N","SYS_C00169227","终端名称","销售终端"
"TERMINAL","ZD_NO","NUMBER","","N","SYS_C00169226","终端编号","销售终端"
"TERMINAL","COMPANY","NUMBER","","N","SYS_C00169228","所属公司 1:千行 2:宜行 3:诚品","销售终端"
"TERMINAL","PLAT","NUMBER","","N","SYS_C00169229","所属平台: 1:天猫; 2:拼多多; 3:快团团","销售终端"
"TERMINAL","OPEN_TIME","DATE","","N","SYS_C00169230","开店时间","销售终端"
"ORDERS","ORDER_NO","VARCHAR2","","N","PK_ORDER_NO","系统订单号","订单"
"ORDERS","ORDER_NO","VARCHAR2","","N","SYS_C00169232","系统订单号","订单"
"ORDERS","TERMINAL_NO","VARCHAR2","","N","SYS_C00169233","销售终端","订单"
"ORDERS","TRADE_NO","VARCHAR2","","N","SYS_C00169234","交易订单号","订单"
"ORDERS","ORDER_TITLE","VARCHAR2","","Y","","订单标题","订单"
"ORDERS","GOODS_CNTR","NUMBER","","Y","","商品数量","订单"
"ORDERS","PAY_FEE","NUMBER","","Y","","支付金额","订单"
"ORDERS","BUYER_NICK","VARCHAR2","","Y","","买家昵称","订单"
"ORDERS","RECV_NAME","VARCHAR2","","Y","","收货人","订单"
"ORDERS","RECV_PHONE","VARCHAR2","","Y","","收货电话","订单"
"ORDERS","RECV_PROVINCE","VARCHAR2","","Y","","收货省份","订单"
"ORDERS","RECV_CITY","VARCHAR2","","Y","","收货城市","订单"
"ORDERS","RECV_ADDRESS","VARCHAR2","","Y","","收货地址","订单"
"ORDERS","BUYER_MSG","VARCHAR2","","Y","","买家留言","订单"
"ORDERS","SELLER_REMARK","VARCHAR2","","Y","","商家留言","订单"
"ORDERS","SELLER_FLAG","NUMBER","","Y","","商家标记","订单"
"ORDERS","TRADE_TIME","DATE","","Y","","交易时间","订单"
"ORDERS","ORDER_STATUS","NUMBER","","N","SYS_C00169235","交易状态  0:交易完成 20:等待发货  30:等待买家确认  90:交易失败","订单"
"ORDERS","REFUND_STATUS","NUMBER","","Y","","退款状态 10:无需 20:等待退款 30:退款中 90:拒绝退款 0:退款成功","订单"
"ORDERS","CREATE_TIME","DATE","","Y","","创建时间","订单"
"ORDER_ITEMS","ID","NUMBER","","N","SYS_C00169242","编号","订单产品详情"
"ORDER_ITEMS","ORDER_NO","VARCHAR2","","N","SYS_C00169243","系统订单号","订单产品详情"
"ORDER_ITEMS","TRADE_NO","VARCHAR2","","N","SYS_C00169244","交易订单号","订单产品详情"
"ORDER_ITEMS","TITLE","VARCHAR2","","Y","","产品标题","订单产品详情"
"ORDER_ITEMS","SPU_NO","VARCHAR2","","Y","","品类编号","订单产品详情"
"ORDER_ITEMS","SKU_NO","VARCHAR2","","Y","","sku编号","订单产品详情"
"ORDER_ITEMS","QUANTITY","NUMBER","","N","SYS_C00169245","数量","订单产品详情"
"ORDER_ITEMS","PRICE","NUMBER","","N","SYS_C00169246","单价","订单产品详情"
"GOODS_SPU","SPU_NO","VARCHAR2","","N","PK_GOODS_SPU_NO","spu编号","标准货品"
"GOODS_SPU","SPU_NO","VARCHAR2","","N","SYS_C00169252","spu编号","标准货品"
"GOODS_SPU","SPU_TYPE","NUMBER","","N","SYS_C00169253","货品类别 1:销售商品 2:原材料 3:包装 4:周转材料 5:虚拟商品 6:固定资产 0:其它","标准货品"
"GOODS_SPU","SPU_CLASS","VARCHAR2","","Y","","分类 比如:手机/食品","标准货品"
"GOODS_SPU","SPU_NAME","VARCHAR2","","N","SYS_C00169254","货品名称","标准货品"
"GOODS_SPU","ALIAS","VARCHAR2","","Y","","别名","标准货品"
"GOODS_SPU","ORIGIN","VARCHAR2","","Y","","产地","标准货品"
"GOODS_SPU","BRAND","VARCHAR2","","Y","","品牌","标准货品"
"GOODS_SPU","UNIT","VARCHAR2","","Y","","单位","标准货品"
"GOODS_SPU","REMARK","VARCHAR2","","Y","","备注","标准货品"
"GOODS_SPU","EXT1","VARCHAR2","","Y","","扩展属性1","标准货品"
"GOODS_SPU","EXT2","VARCHAR2","","Y","","扩展属性2","标准货品"
"GOODS_SPU","EXT3","VARCHAR2","","Y","","扩展属性3","标准货品"
"GOODS_SKU","SKU_NO","VARCHAR2","","N","PK_GOODS_SKU_NO","sku编号","sku"
"GOODS_SKU","SKU_NO","VARCHAR2","","N","SYS_C00169255","sku编号","sku"
"GOODS_SKU","SPU_NO","VARCHAR2","","N","SYS_C00169256","spu货号","sku"
"GOODS_SKU","SKU_NAME","VARCHAR2","","N","SYS_C00169257","sku名称","sku"
"GOODS_SKU","VALIDITY_DAYS","NUMBER","","N","SYS_C00169258","保质期(天)","sku"
"GOODS_SKU","RETAIL_PRICE","NUMBER","","Y","","零售价","sku"
"GOODS_SKU","TAX_RATE","NUMBER","","Y","","税率","sku"
"GOODS_SKU","WEIGHT","NUMBER","","Y","","重量(克)","sku"
"GOODS_SKU","LENGTH","NUMBER","","Y","","长(cm)","sku"
"GOODS_SKU","WIDTH","NUMBER","","Y","","宽(cm)","sku"
"GOODS_SKU","HEIGHT","NUMBER","","Y","","高(cm)","sku"
"GOODS_TERMINAL","ID","NUMBER","","N","PK_GOODS_SALE_ID","货品ID","终端销售商品"
"GOODS_TERMINAL","ID","NUMBER","","N","SYS_C00169262","货品ID","终端销售商品"
"GOODS_SPU","STATUS","NUMBER","","N","SYS_C00169260","状态 0:启用; 1:禁用","标准货品"
"GOODS_SKU","EXT1","VARCHAR2","","Y","","扩展属性1","sku"
"GOODS_SKU","EXT2","VARCHAR2","","Y","","扩展属性2","sku"
"GOODS_SKU","EXT3","VARCHAR2","","Y","","扩展属性3","sku"
"GOODS_SKU","REMARK","VARCHAR2","","Y","","备注","sku"
"GOODS_SKU","STATUS","NUMBER","","N","SYS_C00169261","状态 0:启用; 1:禁用","sku"
"GOODS_TERMINAL","TITLE","VARCHAR2","","N","SYS_C00169263","产品标题(对应店铺宝贝标题)","终端销售商品"
"GOODS_TERMINAL","SPU_NO","VARCHAR2","","N","SYS_C00169264","货品SPU","终端销售商品"
"GOODS_TERMINAL","SKU_NO","VARCHAR2","","N","SYS_C00169265","货品SKU","终端销售商品"
"GOODS_TERMINAL","ZD_NO","VARCHAR2","","N","SYS_C00169266","终端销售渠道","终端销售商品"
"GOODS_TERMINAL","ZD_SKU","VARCHAR2","","Y","","终端sku(类似下游产品编码,和店铺发布的sku关联)","终端销售商品"
"GOODS_TERMINAL","PRICE","NUMBER","","N","SYS_C00169267","售价","终端销售商品"
"GOODS_TERMINAL","STOCK","NUMBER","","Y","","库存","终端销售商品"
"GOODS_TERMINAL","STATUS","NUMBER","","N","SYS_C00169268","状态 0:在架 1:下架","终端销售商品"
"GOODS_TERMINAL","EDITOR","VARCHAR2","","Y","","修改人","终端销售商品"
"GOODS_TERMINAL","EDIT_TIME","DATE","","N","SYS_C00169269","修改时间","终端销售商品"
"PROVIDER","PD_NO","VARCHAR2","","N","SYS_C00169270","供应商编号","供应商"
"PROVIDER","PD_NAME","VARCHAR2","","N","SYS_C00169271","供应商名称","供应商"
"PROVIDER","COMPANY","NUMBER","","N","SYS_C00169272","所属公司","供应商"
"PROVIDER","STATUS","NUMBER","","N","SYS_C00169273","状态 0:启用 1:禁用","供应商"
"PROVIDER","EDITOR","VARCHAR2","","Y","","更新人","供应商"
"PROVIDER","EDIT_TIME","DATE","","Y","","更新时间","供应商"
"GOODS_PROVIDER","ID","NUMBER","","N","SYS_C00169274","货品ID","供应商产品"
"GOODS_PROVIDER","PD_NO","VARCHAR2","","N","SYS_C00169275","供货商渠道","供应商产品"
"GOODS_PROVIDER","TITLE","VARCHAR2","","N","SYS_C00169276","产品标题","供应商产品"
"GOODS_PROVIDER","SPU_NO","VARCHAR2","","N","SYS_C00169277","货品SPU","供应商产品"
"GOODS_PROVIDER","SKU_NO","VARCHAR2","","N","SYS_C00169278","货品SKU","供应商产品"
"GOODS_PROVIDER","PRICE","NUMBER","","N","SYS_C00169279","售价","供应商产品"
"GOODS_PROVIDER","STATUS","NUMBER","","N","SYS_C00169280","状态 0:可采购 1:不可采购","供应商产品"
"GOODS_PROVIDER","EDITOR","VARCHAR2","","Y","","修改人","供应商产品"
"GOODS_PROVIDER","EDIT_TIME","DATE","","N","SYS_C00169281","修改时间","供应商产品"
"STORES","STORE_NO","VARCHAR2","","N","SYS_C00169287","仓库编号","仓库"
"STORES","STORE_NAME","VARCHAR2","","N","SYS_C00169288","仓库名称","仓库"
"STORES","STORE_ADDRESS","VARCHAR2","","N","SYS_C00169289","仓库地址","仓库"
"STORES","COMPANY","NUMBER","","N","SYS_C00169290","所属公司 1:千行 2:宜行 3:诚品","仓库"
