"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"OS_AGENT_ACCOUNT_APP","APP_UID","NUMBER","","N","SYS_C00175586","APP编号","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","APP_UID","NUMBER","","N","PK_OS_AGENT_ACCOUNT_APP","APP编号","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","ACCOUNT_ID","NUMBER","","N","SYS_C00175587","账号编号","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","APP_ID","VARCHAR2","","N","SYS_C00175588","应用ID","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","APP_NAME","VARCHAR2","","N","SYS_C00175589","应用名称","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","APP_SECRET","VARCHAR2","","N","SYS_C00175590","应用密钥","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","CALLBACK_URL","VARCHAR2","","Y","","回调地址","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","ACCESS_TOKEN","VARCHAR2","","Y","","访问令牌","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","ACCESS_TOKEN_EXPIRE","DATE","","Y","","访问令牌过期","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","REFRESH_TOKEN","VARCHAR2","","Y","","刷新令牌","代理商账号应用"
"OS_AGENT_ACCOUNT_APP","NEXT_REFRESH_TIME","DATE","","Y","","下次刷新时间","代理商账号应用"
"OS_AGENT_ADVERTISER","ADVERTISER_UID","NUMBER","","N","SYS_C00175592","广告主编号","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","ADVERTISER_UID","NUMBER","","N","PK_OS_AGENT_ADVERTISER","广告主编号","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","ACCOUNT_ID","NUMBER","","N","SYS_C00175593","账号编号","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","ACCOUNT_APP_ID","NUMBER","","N","SYS_C00175594","应用编号","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","ADVERTISER_ID","VARCHAR2","","N","SYS_C00175595","广告主编码","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","BUSINESS_TYPE","NUMBER","","N","SYS_C00175596","业务类型","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","PRODUCT_TYPE","NUMBER","","N","SYS_C00175597","产品类型","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","CASH_BALANCE","NUMBER","15","N","SYS_C00175598","现金余额","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","VALID_BALANCE","NUMBER","15","N","SYS_C00175599","账面余额","代理商广告主(广告账户)"
"OS_AGENT_ADVERTISER","REBATE_RATE","NUMBER","15","Y","","返佣率","代理商广告主(广告账户)"
