"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"US_USER_ALARM_SETTING","SETTING_ID","NUMBER","20","N","PK_US_USER_ALARM_SETTING","配置编号","用户接收报警信息配置"
"US_USER_ALARM_SETTING","SETTING_ID","NUMBER","20","N","SYS_C00106814","配置编号","用户接收报警信息配置"
"US_USER_ALARM_SETTING","USER_ID","VARCHAR2","","N","SYS_C00106815","用户编号","用户接收报警信息配置"
"US_USER_ALARM_SETTING","SYSTEM_ID","VARCHAR2","","N","SYS_C00106816","系统编号","用户接收报警信息配置"
"US_USER_ALARM_SETTING","KEYWORD1","VARCHAR2","","Y","","关键字1","用户接收报警信息配置"
"US_USER_ALARM_SETTING","KEYWORD2","VARCHAR2","","Y","","关键字2","用户接收报警信息配置"
"US_USER_ALARM_SETTING","KEYWORD3","VARCHAR2","","Y","","关键字3","用户接收报警信息配置"
"US_USER_ALARM_SETTING","KEYWORD4","VARCHAR2","","Y","","关键字4","用户接收报警信息配置"
"US_USER_ALARM_SETTING","KEYWORD5","VARCHAR2","","Y","","关键字5","用户接收报警信息配置"
"US_USER_ALARM_SETTING","STATUS","NUMBER","1","N","SYS_C00106817","状态","用户接收报警信息配置"
"US_USER_ALARM_SETTING","UPDATED_USER","VARCHAR2","","Y","","更新人","用户接收报警信息配置"
"US_USER_ALARM_SETTING","UPDATED_TIME","DATE","","Y","","更新时间","用户接收报警信息配置"
"US_USER_ALARM_SETTING","ALARM_LEVEL","NUMBER","4","Y","","告警级别","用户接收报警信息配置"
"US_USER_ALARM_SETTING","ALARM_RATE","NUMBER","10","Y","","告警频率(分钟)","用户接收报警信息配置"
"US_BUSINESS_SYS_ALARM","MESSAGE_ID","NUMBER","20","N","PK_US_BUSINESS_SYS_ALARM","消息编号","业务系统报警消息表"
"US_BUSINESS_SYS_ALARM","MESSAGE_ID","NUMBER","20","N","SYS_C00106818","消息编号","业务系统报警消息表"
"US_BUSINESS_SYS_ALARM","SYSTEM_ID","VARCHAR2","","N","SYS_C00106819","系统编号","业务系统报警消息表"
"US_BUSINESS_SYS_ALARM","LEVEL_NO","VARCHAR2","","N","SYS_C00106820","级别","业务系统报警消息表"
"US_BUSINESS_SYS_ALARM","TITLE","VARCHAR2","","N","SYS_C00106821","标题","业务系统报警消息表"
"US_BUSINESS_SYS_ALARM","CONTENT","VARCHAR2","","N","SYS_C00106822","消息内容","业务系统报警消息表"
"US_BUSINESS_SYS_ALARM","KEYWORDS","VARCHAR2","","N","SYS_C00106823","关键字","业务系统报警消息表"
"US_BUSINESS_SYS_ALARM","CREATED_DATE","DATE","","N","SYS_C00106824","创建时间","业务系统报警消息表"
"US_ALARM_MESSAGE","MESSGE_ID","NUMBER","20","N","PK_US_ALARM_MESSAGE","消息编号","系统报警消息表"
"US_ALARM_MESSAGE","MESSGE_ID","NUMBER","20","N","SYS_C00106825","消息编号","系统报警消息表"
"US_ALARM_MESSAGE","BUSINESS_MSG_ID","NUMBER","20","N","SYS_C00106826","业务系统消息编号","系统报警消息表"
"US_ALARM_MESSAGE","SYSTEM_ID","VARCHAR2","","N","SYS_C00106827","系统编号","系统报警消息表"
"US_ALARM_MESSAGE","LEVEL_NO","VARCHAR2","","N","SYS_C00106828","级别","系统报警消息表"
"US_ALARM_MESSAGE","TITLE","VARCHAR2","","N","SYS_C00106829","标题","系统报警消息表"
"US_ALARM_MESSAGE","CONTENT","VARCHAR2","","N","SYS_C00106830","消息内容","系统报警消息表"
"US_ALARM_MESSAGE","KEYWORDS","VARCHAR2","","N","SYS_C00106831","关键字","系统报警消息表"
"US_ALARM_MESSAGE","ALARM_TYPE","NUMBER","1","N","SYS_C00106832","提前类型1:页面,2:邮件,3:短信","系统报警消息表"
"US_ALARM_MESSAGE","ALARM_USER","VARCHAR2","","N","SYS_C00106833","告警用户","系统报警消息表"
"US_ALARM_MESSAGE","DEAL_STATUS","NUMBER","2","N","SYS_C00106834","处理状态","系统报警消息表"
"US_ALARM_MESSAGE","CREATED_DATE","DATE","","N","SYS_C00106835","创建时间","系统报警消息表"
"US_ALARM_MESSAGE","DEAL_TIME","DATE","","Y","","处理时间","系统报警消息表"
"US_ALARM_LEVEL_SETTING","SETTING_ID","NUMBER","10","N","SYS_C00106836","配置编号","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","SETTING_ID","NUMBER","10","N","PK_US_ALARM_LEVEL_SETTING","配置编号","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","SYSTEM_ID","VARCHAR2","","N","SYS_C00106837","系统编号","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","LEVEL_NO","NUMBER","2","N","SYS_C00106838","级别","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","TIME_TYPE","NUMBER","1","N","SYS_C00106839","时间类型,1:工作日;2:非工作日","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","PAGE_ALARM","NUMBER","1","N","SYS_C00106840","是否页面提示","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","EMAIL_ALARM","NUMBER","1","N","SYS_C00106841","是否邮件提示","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","PHONE_ALARM","NUMBER","1","N","SYS_C00106842","是否短信提示","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","STATUS","NUMBER","1","N","SYS_C00106843","状态","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","WARN_ALARM","NUMBER","1","Y","","是否页面悬浮窗提示","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","SONG_ALARM","NUMBER","1","Y","","是否语音提示","报警级别配置信息"
"US_ALARM_LEVEL_SETTING","WX_ALARM","NUMBER","1","Y","","是否微信推送","报警级别配置信息"
"US_MESSAGE_CONFIG","CONFIG_ID","NUMBER","20","Y","","配置编号","信息发送配置表"
"US_MESSAGE_CONFIG","ALARM_TYPE","NUMBER","1","Y","","提前类型1:页面,2:邮件,3:短信","信息发送配置表"
"US_MESSAGE_CONFIG","SCRIPT_PATH","VARCHAR2","","Y","","脚本","信息发送配置表"
"US_MESSAGE_CONFIG","SEND_ACCOUNT","VARCHAR2","","Y","","发送用户","信息发送配置表"
"US_MESSAGE_CONFIG","SEND_PWD","VARCHAR2","","Y","","发送密码","信息发送配置表"
"US_MESSAGE_CONFIG","STATUS","NUMBER","1","Y","","状态","信息发送配置表"
"US_MESSAGE_KEYWORD","ID","NUMBER","20","N","PKY_MESSAGE_KEYWORD_ID","编号","系统消息关键字信息"
"US_MESSAGE_KEYWORD","SYSTEM_NO","VARCHAR2","","Y","","系统编号","系统消息关键字信息"
"US_MESSAGE_KEYWORD","KEYWORDS","VARCHAR2","","Y","","关键字","系统消息关键字信息"
"US_MESSAGE_KEYWORD","DESCRIPTION","VARCHAR2","","Y","","说明","系统消息关键字信息"
"US_MESSAGE_KEYWORD","CREATE_TIME","DATE","","Y","","创建时间","系统消息关键字信息"
"US_MESSAGE_KEYWORD","CREATE_USER","VARCHAR2","","Y","","创建人","系统消息关键字信息"
"US_MESSAGE_KEYWORD","PAGE_RATE","NUMBER","5","Y","","页面提醒频率","系统消息关键字信息"
"US_MESSAGE_KEYWORD","EMAIL_RATE","NUMBER","5","Y","","邮件提醒频率","系统消息关键字信息"
"US_MESSAGE_KEYWORD","PHONE_RATE","NUMBER","5","Y","","短信提醒频率","系统消息关键字信息"
"US_MESSAGE_KEYWORD","KEYWORD_TYPE","NUMBER","","Y","","关键字所属系统, 0: 内部系统; 1:外部系统","系统消息关键字信息"
"US_ROLE_INFO_NEW","ROLE_ID","NUMBER","10","N","SYS_C00106851","角色编号","系统角色信息表"
"US_ROLE_INFO_NEW","ROLE_ID","NUMBER","10","N","PKY_ROLE_INFO_ID_NEW","角色编号","系统角色信息表"
"US_ROLE_INFO_NEW","ROLE_NAME","VARCHAR2","","Y","","系统名称","系统角色信息表"
"US_ROLE_INFO_NEW","GRANT_SYSTEM","VARCHAR2","","Y","","所属系统列表","系统角色信息表"
"US_ROLE_INFO_NEW","ROLE_TYPE","NUMBER","1","Y","","角色类型,1:普通,2:管理员","系统角色信息表"
"US_ROLE_INFO_NEW","STATUS","NUMBER","1","Y","","状态","系统角色信息表"
"US_ROLE_INFO_NEW","CREATED_USER","VARCHAR2","","Y","","创建用户","系统角色信息表"
"US_ROLE_INFO_NEW","CREATED_TIME","DATE","","Y","","创建时间","系统角色信息表"
"US_ROLE_INFO_NEW","UPDATED_USER","VARCHAR2","","Y","","更新用户","系统角色信息表"
"US_ROLE_INFO_NEW","UPDATED_TIME","DATE","","Y","","更新时间","系统角色信息表"
"US_ROLE_PERMISSION_NEW","MAPPING_ID","NUMBER","10","N","SYS_C00106852","关系编号","角色权限关系表(新)"
"US_ROLE_PERMISSION_NEW","FUNCTION_ID","VARCHAR2","","Y","","功能编号","角色权限关系表(新)"
"US_ROLE_PERMISSION_NEW","ROLE_ID","NUMBER","10","Y","","角色编号","角色权限关系表(新)"
"US_ROLE_PERMISSION_NEW","STATUS","NUMBER","1","Y","","状态","角色权限关系表(新)"
"US_ROLE_PERMISSION_NEW","CREATED_USER","VARCHAR2","","Y","","创建用户","角色权限关系表(新)"
"US_ROLE_PERMISSION_NEW","CREATED_TIME","DATE","","Y","","创建时间","角色权限关系表(新)"
"US_ROLE_PERMISSION_NEW","UPDATED_USER","VARCHAR2","","Y","","更新用户","角色权限关系表(新)"
"US_ROLE_PERMISSION_NEW","UPDATED_TIME","DATE","","Y","","更新时间","角色权限关系表(新)"
"US_USER_PERMISSION","MAPPING_ID","NUMBER","10","N","SYS_C00106853","关系编号","角色权限关系表"
"US_USER_PERMISSION","MAPPING_ID","NUMBER","10","N","PKY_USER_PERMISSION_ID","关系编号","角色权限关系表"
"US_USER_PERMISSION","FUNCTION_ID","VARCHAR2","","Y","","功能编号","角色权限关系表"
"US_USER_PERMISSION","USER_ID","VARCHAR2","","Y","","用户编号","角色权限关系表"
"US_USER_PERMISSION","STATUS","NUMBER","1","Y","","状态","角色权限关系表"
"US_USER_PERMISSION","CREATED_USER","VARCHAR2","","Y","","创建用户","角色权限关系表"
"US_USER_PERMISSION","CREATED_TIME","DATE","","Y","","创建时间","角色权限关系表"
"US_USER_PERMISSION","UPDATED_USER","VARCHAR2","","Y","","更新用户","角色权限关系表"
"US_USER_PERMISSION","UPDATED_TIME","DATE","","Y","","更新时间","角色权限关系表"
"US_USER_PERMISSION","TAG","NUMBER","1","Y","","标记(1-新增 2-排除)","角色权限关系表"
"US_USER_PERMISSION","SYSTEM_NO","VARCHAR2","","Y","","系统编号","角色权限关系表"
"US_SYSTEM_FUNCTION_NEW","FUNCTION_ID","VARCHAR2","","N","SYS_C00106854","功能编号","系统功能信息表(新)"
"US_SYSTEM_FUNCTION_NEW","FUNCTION_ID","VARCHAR2","","N","PKY_FUNCTION_ID_NEW","功能编号","系统功能信息表(新)"
"US_SYSTEM_FUNCTION_NEW","DISPLAY_NAME","VARCHAR2","","Y","","显示名称","系统功能信息表(新)"
"US_SYSTEM_FUNCTION_NEW","FUNCTION_PID","VARCHAR2","","Y","","父功能编号","系统功能信息表(新)"
"US_SYSTEM_FUNCTION_NEW","PAGE_PATH","VARCHAR2","","Y","","页面路径","系统功能信息表(新)"
"US_SYSTEM_FUNCTION_NEW","FUNCTION_TAG","VARCHAR2","","Y","","功能标签","系统功能信息表(新)"
