"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"SYT_DOWN_PRODUCT","CHANNEL_NO","VARCHAR2","","N","SYS_C00136725","渠道编号","下游渠道产品表"
"SYT_DOWN_PRODUCT","PID","NUMBER","20","N","PK_SYT_DOWN_PRODUCT","产品ID","下游渠道产品表"
"SYT_DOWN_PRODUCT","PID","NUMBER","20","N","SYS_C00136692","产品ID","下游渠道产品表"
"SYT_DOWN_PRODUCT","PRODUCT_NO","VARCHAR2","","N","SYS_C00136726","产品编码","下游渠道产品表"
"SYT_DOWN_PRODUCT","PRODUCT_NAME","VARCHAR2","","N","SYS_C00136727","产品名称","下游渠道产品表"
"SYT_DOWN_PRODUCT","BUSINESS_TYPE","NUMBER","20","N","SYS_C00136728","业务类型 ","下游渠道产品表"
"SYT_DOWN_PRODUCT","CARRIER_NO","VARCHAR2","","N","SYS_C00136729","运营商","下游渠道产品表"
"SYT_DOWN_PRODUCT","PROVINCE_NO","VARCHAR2","","N","SYS_C00136730","省份;QG:全国","下游渠道产品表"
"SYT_DOWN_PRODUCT","CITY_NO","VARCHAR2","","N","SYS_C00136731","城市;*:全市","下游渠道产品表"
"SYT_DOWN_PRODUCT","PRODUCT_FACE","NUMBER","","Y","","产品原价","下游渠道产品表"
"SYT_DOWN_PRODUCT","SALE_PRICE","NUMBER","20","Y","","显示售价","下游渠道产品表"
"SYT_DOWN_PRODUCT","REAL_PRICE","NUMBER","20","Y","","实际售价","下游渠道产品表"
"SYT_DOWN_PRODUCT","STATUS","NUMBER","20","N","SYS_C00136732","状态;0:启用;1:禁用","下游渠道产品表"
"SYT_DOWN_PRODUCT","REMARK","VARCHAR2","","Y","","备注","下游渠道产品表"
"SYT_DOWN_PRODUCT","CREATED_USER","VARCHAR2","","Y","","创建者","下游渠道产品表"
"SYT_DOWN_PRODUCT","CREATED_TIME","DATE","","N","SYS_C00136734","创建时间","下游渠道产品表"
"SYT_DOWN_PRODUCT","EDIT_USER","VARCHAR2","","Y","","更新人","下游渠道产品表"
"SYT_DOWN_PRODUCT","EDIT_TIME","DATE","","Y","","更新时间","下游渠道产品表"
"ORDER_MAIN","SFZ_NO","VARCHAR2","","Y","","身份证编号","订单主表"
"ORDER_MAIN","REAL_NAME","VARCHAR2","","Y","","姓名","订单主表"
"ORDER_MAIN_II","ORDER_NO","VARCHAR2","","N","SYS_C00136724","订单号","订单主表(新)"
"BILL_MATCH_DIFFERENCE","MANUAL_REMARK","VARCHAR2","","Y","","人工手动备注","对账差异"
"PARTNER_TERM","CONFIG_ID","NUMBER","","N","SYS_C00162065","配置编号","商户终端表"
"PARTNER_TERM","CONFIG_ID","NUMBER","","N","PK_PARTNER_TERM_ID","配置编号","商户终端表"
"PARTNER_TERM","PARTNER_ID","NUMBER","","N","SYS_C00162066","商户编号","商户终端表"
"PARTNER_TERM","PARTNER_ID","NUMBER","","N","UK_PARTNER_TERM","商户编号","商户终端表"
"PARTNER_TERM","TERM_ID","NUMBER","","N","SYS_C00162067","终端编号","商户终端表"
"PARTNER_TERM","TERM_ID","NUMBER","","N","UK_PARTNER_TERM","终端编号","商户终端表"
"PARTNER_TERM","STATUS","NUMBER","","N","SYS_C00162068","状态","商户终端表"
"PARTNER_TERM","CREATE_TIME","DATE","","N","SYS_C00162069","创建时间","商户终端表"
"PARTNER_TERM","CREATE_USER","VARCHAR2","","Y","","创建人","商户终端表"
"PARTNER_TERM","UPDATE_TIME","DATE","","Y","","更新时间","商户终端表"
"PARTNER_TERM","UPDATE_USER","VARCHAR2","","Y","","更新人","商户终端表"
"PARTNER_TERM_PRODUCT","CONFIG_ID","NUMBER","","N","SYS_C00162146","配置编号","商户产品表"
"PARTNER_TERM_PRODUCT","CONFIG_ID","NUMBER","","N","PK_PTN_TERM_PRD_ID","配置编号","商户产品表"
"PARTNER_TERM_PRODUCT","PARTNER_TERM_ID","NUMBER","","N","SYS_C00162147","商户终端编号","商户产品表"
"PARTNER_TERM_PRODUCT","PRODUCT_ID","NUMBER","","N","SYS_C00162148","产品编号","商户产品表"
"PARTNER_TERM_PRODUCT","SALE_PRICE","NUMBER","16","N","SYS_C00162150","销售价格","商户产品表"
"PARTNER_TERM_PRODUCT","PRICE_MODE","NUMBER","","N","SYS_C00162149","价格模式: 1-商户价 2-渠道价 3-下架","商户产品表"
"PARTNER_TERM_PRODUCT","REMARK","VARCHAR2","","Y","","备注","商户产品表"
"PARTNER_TERM_PRODUCT","CREATE_TIME","DATE","","N","SYS_C00162151","创建时间","商户产品表"
"PARTNER_TERM_PRODUCT","UPDATE_TIME","DATE","","Y","","更新时间","商户产品表"
"PARTNER_INFO","NOTIFY_RECHARGE","NUMBER","","Y","","通知充值: 0-是 1-否","商户信息表"
"PARTNER_INFO","NOTIFY_SUBMIT","NUMBER","","Y","","通知下单: 0-是 1-否","商户信息表"
"PARTNER_INFO","NOTIFY_PAY","NUMBER","","Y","","通知支付: 0-是 1-否","商户信息表"
"PARTNER_INFO","NOTIFY_REFUND","NUMBER","","Y","","通知退款: 0-是 1-否","商户信息表"
"BILL_MATCH_DIFFERENCE","PAY_FLOW_ORDER","VARCHAR2","","Y","","商户流水号","对账差异"
"PARTNER_INFO","NOTIFY_URL","VARCHAR2","","Y","","通知地址","商户信息表"
"PAYMENT_BILL_MATCH","PAY_FLOW_ORDER","VARCHAR2","","Y","","商户流水号","支付对账表"
"PARTNER_INFO","SIGN_KEY","VARCHAR2","","Y","","接口签名KEY","商户信息表"
"TERMINAL_INFO","HAS_PLAT_UID","NUMBER","","Y","","是否有平台UID","终端信息表"
"PRODUCT_PREVIEW_DOWN","BUSINESS_TYPE","NUMBER","","Y","","业务类型","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","BATCH_NO","VARCHAR2","","Y","","批次号","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","PRODUCT_NO","VARCHAR2","","N","SYS_C00162549","产品编码","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","CARRIER_NO","NVARCHAR2","","N","SYS_C00162550","运营商","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","PROVINCE_NO","NVARCHAR2","","N","SYS_C00162551","省份","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","NORMAL_PRICE","NUMBER","","N","SYS_C00162552","标准价","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","SALE_PRICE_OLD","NUMBER","","N","SYS_C00162553","原来销售价格","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","SALE_PRICE_NEW","NUMBER","","N","SYS_C00162554","修改销售价格","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","CREATED_TIME","DATE","","N","SYS_C00162555","创建时间","上游调价预览表"
"PRODUCT_PREVIEW_DOWN","CREATED_USER","VARCHAR2","","Y","","创建人","上游调价预览表"
