"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"FC_ERROR_CODE","CID","NUMBER","20","N","SYS_C00129069","主键",""
"FC_ERROR_CODE","CHANNEL_NO","VARCHAR2","","N","SYS_C00129070","渠道编号",""
"FC_ERROR_CODE","PRODUCT_TYPE","VARCHAR2","","N","SYS_C00129071","产品类型",""
"FC_ERROR_CODE","ACTION_TYPE","VARCHAR2","","N","SYS_C00129072","操作类型",""
"FC_ERROR_CODE","KEY_WORD1","VARCHAR2","","N","SYS_C00129073","关键词1",""
"FC_ERROR_CODE","KEY_WORD2","VARCHAR2","","Y","","关键词2
",""
"FC_ERROR_CODE","DEAL_TYPE","NUMBER","20","N","SYS_C00129074","处理类型",""
"FC_ERROR_CODE","STATUS","NUMBER","20","N","SYS_C00129075","状态(禁用/启用)
",""
"FC_ERROR_CODE","CREATED_USER","VARCHAR2","","N","SYS_C00129076","创建者",""
"FC_ERROR_CODE","CREATED_TIME","DATE","","N","SYS_C00129077","创建时间",""
"FC_ERROR_CODE","EDIT_USER","VARCHAR2","","Y","","更新人",""
"FC_ERROR_CODE","EDIT_TIME","DATE","","Y","","更新时间",""
"FC_ERROR_CODE","DEAL_MSG","VARCHAR2","","Y","","错误消息",""
"FC_DOWN_SPECIFY_UP","ID","NUMBER","20","N","PK_FC_DOWN_SPECIFY_UP","编号","下游指定上游"
"FC_DOWN_SPECIFY_UP","ID","NUMBER","20","N","SYS_C00128783","编号","下游指定上游"
"FC_DOWN_SPECIFY_UP","DOWN_CHANNEL_NO","VARCHAR2","","N","SYS_C00128784","下游渠道编号","下游指定上游"
"FC_DOWN_SPECIFY_UP","DOWN_GROUP_NO","VARCHAR2","","N","SYS_C00128785","下游产品分组","下游指定上游"
"FC_DOWN_SPECIFY_UP","UP_CHANNEL_NO","VARCHAR2","","N","SYS_C00128786","上游渠道编号","下游指定上游"
"FC_DOWN_SPECIFY_UP","UP_GROUP_NO","VARCHAR2","","N","SYS_C00128787","上游产品分组","下游指定上游"
"FC_DOWN_SPECIFY_UP","STATUS","NUMBER","20","N","SYS_C00128788","状态","下游指定上游"
"FC_DOWN_SPECIFY_UP","CREATED_USER","VARCHAR2","","N","SYS_C00128789","创建者","下游指定上游"
"FC_DOWN_SPECIFY_UP","CREATED_TIME","DATE","","N","SYS_C00128790","创建时间","下游指定上游"
"FC_DOWN_SPECIFY_UP","EDIT_USER","VARCHAR2","","Y","","更新人","下游指定上游"
"FC_DOWN_SPECIFY_UP","EDIT_TIME","DATE","","Y","","更新时间","下游指定上游"
"FC_DOWN_SPECIFY_UP","PERCENT","NUMBER","","Y","","分流比","下游指定上游"
"FC_ORDER_MAIN","ORDER_NO","VARCHAR2","","N","PK_FC_ORDER_MAIN","订单号","订单表"
"FC_ORDER_MAIN","ORDER_NO","VARCHAR2","","N","SYS_C00128791","订单号","订单表"
"FC_ORDER_MAIN","DOWN_ORDER_NO","VARCHAR2","","N","SYS_C00128792","下游订单号","订单表"
"FC_ORDER_MAIN","DOWN_CHANNEL_NO","VARCHAR2","","N","SYS_C00128793","下游渠道编号","订单表"
"FC_ORDER_MAIN","DOWN_PRODUCT_NO","VARCHAR2","","N","SYS_C00128794","下游产品编码","订单表"
"FC_ORDER_MAIN","DOWN_PRODUCT_ID","NUMBER","20","N","SYS_C00128795","下游产品ID","订单表"
"FC_ORDER_MAIN","PRODUCT_NAME","VARCHAR2","","N","SYS_C00128796","产品名称","订单表"
"FC_ORDER_MAIN","PACKAGE_ID","NUMBER","20","N","SYS_C00128797","套餐编号","订单表"
"FC_ORDER_MAIN","PRODUCT_TYPE","NUMBER","20","N","SYS_C00128798","产品类型","订单表"
"FC_ORDER_MAIN","CARRIER_NO","VARCHAR2","","N","SYS_C00128799","运营商","订单表"
"FC_ORDER_MAIN","PROVINCE_NO","VARCHAR2","","N","SYS_C00128800","省份;QG:全国","订单表"
"FC_ORDER_MAIN","CITY_NO","VARCHAR2","","N","SYS_C00128801","城市:*:全市","订单表"
"FC_ORDER_MAIN","ACTIVE_PHONE","VARCHAR2","","Y","","激活手机号","订单表"
"FC_ORDER_MAIN","OLD_PHONE","VARCHAR2","","Y","","未办理成功的手机号","订单表"
"FC_ORDER_MAIN","FACE","NUMBER","20","N","SYS_C00128802","面值","订单表"
"FC_ORDER_MAIN","PAY_FEE","NUMBER","20","N","SYS_C00128803","支付金额","订单表"
"FC_ORDER_MAIN","TRADE_FEE","NUMBER","20","N","SYS_C00128804","交易手续费","订单表"
"FC_ORDER_MAIN","BUY_CNTR","NUMBER","20","Y","","数量","订单表"
"FC_ORDER_MAIN","TRIAL_DAY","NUMBER","20","N","SYS_C00128805","试用期","订单表"
"FC_ORDER_MAIN","AUTO_ACTIVE","NUMBER","20","N","SYS_C00128806","是否自动激活","订单表"
"FC_ORDER_MAIN","REQUEST_TIME","DATE","","N","SYS_C00128807","请求时间","订单表"
"FC_ORDER_MAIN","ORDER_TIMEOUT","DATE","","Y","","订单超时时间","订单表"
"FC_ORDER_MAIN","ORDER_STATUS","NUMBER","20","N","SYS_C00128808","订单状态","订单表"
"FC_ORDER_MAIN","REFUND_STATUS","NUMBER","20","Y","","退款状态","订单表"
"FC_ORDER_MAIN","REFUND_TIME","DATE","","Y","","退款时间","订单表"
"FC_ORDER_MAIN","ACTIVE_STATUS","NUMBER","20","N","SYS_C00128809","激活状态0:转正/激活90:未转正/未激活","订单表"
"FC_ORDER_MAIN","ACTIVE_TIME","DATE","","Y","","激活时间","订单表"
"FC_ORDER_MAIN","ACTIVE_TIMEOUT","DATE","","Y","","激活超时时间","订单表"
"FC_ORDER_MAIN","NOTIFY_STATUS","NUMBER","20","N","SYS_C00128810","通知状态","订单表"
"FC_ORDER_MAIN","ERROR_CODE","NUMBER","20","Y","","错误码","订单表"
"FC_ORDER_MAIN","ERROR_MSG","VARCHAR2","","Y","","错误消息","订单表"
"FC_ORDER_MAIN","SCAN_ID","NUMBER","20","Y","","扫描批次","订单表"
"FC_ORDER_MAIN","BIND_IP","VARCHAR2","","Y","","绑定IP","订单表"
"FC_ORDER_MAIN","NEXT_BIND_TIME","DATE","","Y","","下次绑定时间","订单表"
"FC_ORDER_MAIN","FINISH_TIME","DATE","","Y","","订单完成时间","订单表"
"FC_ORDER_MAIN","REMARK","VARCHAR2","","Y","","备注","订单表"
"FC_ORDER_MAIN","EXT1","VARCHAR2","","Y","","扩展1","订单表"
"FC_ORDER_MAIN","EXT2","VARCHAR2","","Y","","扩展2","订单表"
"FC_ORDER_MAIN","ACTION","VARCHAR2","","Y","","当前操作","订单表"
"FC_ORDER_MAIN","FLOW_ID","NUMBER","","N","SYS_C00128811","流程编号","订单表"
"FC_ORDER_BIND","BIND_ID","VARCHAR2","","N","PK_FC_ORDER_BIND","编号","绑定表"
"FC_ORDER_BIND","BIND_ID","VARCHAR2","","N","SYS_C00128812","编号","绑定表"
"FC_ORDER_BIND","ORDER_NO","VARCHAR2","","N","SYS_C00128813","订单号","绑定表"
"FC_ORDER_BIND","DOWN_ORDER_NO","VARCHAR2","","N","SYS_C00128814","下游订单号","绑定表"
"FC_ORDER_BIND","DOWN_CHANNEL_NO","VARCHAR2","","N","SYS_C00128815","下游渠道编号","绑定表"
"FC_ORDER_BIND","UP_CHANNEL_NO","VARCHAR2","","N","SYS_C00128816","上游渠道","绑定表"
"FC_ORDER_BIND","UP_PRODUCT_ID","NUMBER","20","N","SYS_C00128817","上游产品ID","绑定表"
"FC_ORDER_BIND","UP_ACCOUNT_ID","NUMBER","","N","SYS_C00128818","上游帐号","绑定表"
