"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS"
"FD_TRADE_ORDER_MAIN_DIFFER","DOWN_FIRST_FACE","NUMBER","20","N","SYS_C00112718","下游与上游扣款的时间差造成的差异面值(上下游扣款有时间差异时造成，下扣、下退、上扣、上退)"
"FD_TRADE_ORDER_MAIN_DIFFER","DOWN_FIRST_AMOUNT","NUMBER","20","N","SYS_C00112719","下游与上游扣款的时间差造成的差异金额"
"FD_TRADE_ORDER_MAIN_DIFFER","ACCOUNT_ID","NUMBER","20","N","SYS_C00112716","下游渠道支付账户编号"
"FD_TRADE_ORDER_MAIN_DIFFER","BUSINESS_TYPE","NUMBER","3","N","SYS_C00112717","业务类型"
"FD_B2E_BANK_RECEIVE_ACCOUNT","CARD_NO","VARCHAR2","","N","SYS_C00113124","银行卡号[来源:FD_BANK_ACCOUNT_INFO]"
"FD_B2E_BANK_RECEIVE_ACCOUNT","CARD_NAME","VARCHAR2","","Y","","账户名称[来源:FD_BANK_ACCOUNT_INFO]"
"FD_B2E_BANK_RECEIVE_ACCOUNT","QUERY_INTERVAL_TIME","NUMBER","20","N","SYS_C00113125","查询间隔时间"
"FD_B2E_BANK_RECEIVE_ACCOUNT","USE_TYPE","NUMBER","3","Y","","用途，下游收款 等"
"FD_B2E_BANK_RECEIVE_ACCOUNT","STATUS","NUMBER","1","N","SYS_C00113126","账户状态"
"FD_B2E_BANK_RECEIVE_ACCOUNT","LAST_QUERY_TIME","DATE","","N","SYS_C00113127","最后查询成功时间"
"FD_B2E_BANK_RECEIVE_RECORD","RECORD_ID","NUMBER","20","N","PK_FD_B2E_DOWN_RECEIVE_RECORD","记录编号"
"FD_B2E_BANK_RECEIVE_RECORD","RECORD_ID","NUMBER","20","N","SYS_C00113128","记录编号"
"FD_B2E_BANK_RECEIVE_RECORD","BANK_ACCOUNT_ID","NUMBER","20","N","SYS_C00113129","银行账户"
"FD_B2E_BANK_RECEIVE_RECORD","TASK_ID","NUMBER","20","N","SYS_C00113130","任务编号"
"FD_B2E_BANK_RECEIVE_RECORD","CREATE_TIME","DATE","","N","SYS_C00113131","创建时间"
"FD_B2E_BANK_RECEIVE_RECORD","RECEIVE_TIME","DATE","","N","SYS_C00113132","收款时间"
"FD_B2E_BANK_RECEIVE_RECORD","RECEIVE_NO","VARCHAR2","","N","SYS_C00113133","银行外部收款编号"
"FD_B2E_BANK_RECEIVE_RECORD","BANK_SVR_SEQ","VARCHAR2","","N","SYS_C00113134","银行交易流水号"
"FD_B2E_BANK_RECEIVE_RECORD","BANK_CERT_NO","VARCHAR2","","N","SYS_C00113135","银行凭证号"
"FD_B2E_BANK_RECEIVE_RECORD","RECEIVE_AMOUNT","NUMBER","20","N","SYS_C00113136","银行收款金额"
"FD_B2E_BANK_RECEIVE_RECORD","TRADE_TYPE","NUMBER","1","N","SYS_C00113137","交易类型 1:支 2：收"
