"TABLE_NAME","COLUMN_NAME","DATA_TYPE","DATA_PRECISION","NULLABLE","CONSTRAINT_NAME","COMMENTS","COMMENTS"
"DZ_WARNING_MESSAGE","IS_SYNC","NUMBER","2","Y","","是否被同步:1-未同步,0-被同步","警告消息"
"DZ_WARNING_MESSAGE","CONTENT","VARCHAR2","","Y","","内容","警告消息"
"DZ_WARNING_MESSAGE","SYNC_STATUS","NUMBER","","N","SYS_C00127068","同步状态:20:等待同步,30:同步中,0:同步完成","警告消息"
"ESALES_NOT_SETTLE_ORDER","ORDER_NO","VARCHAR2","","N","SYS_C00127069","订单编号","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","CHANNEL_NO","VARCHAR2","","N","SYS_C00127070","渠道编号","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","PHONE_NO","VARCHAR2","","N","SYS_C00127071","手机号","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","FACE","NUMBER","","N","SYS_C00127072","总面值","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","REQUEST_FEE","NUMBER","","N","SYS_C00127073","用户支付金额","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","SUC_FEE","NUMBER","","N","SYS_C00127074","成功金额","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","DOWN_ORDER_NO","VARCHAR2","","N","SYS_C00127075","下游订单号","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","REQUEST_TIME","DATE","","Y","","下游提交订单时间","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","FINISH_TIME","DATE","","Y","","系统订单完成时间","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","SALE_FEE","NUMBER","","Y","","销售金额","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","CHANNEL_NAME","VARCHAR2","","Y","","渠道名称","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","IS_SETTLE","NUMBER","","N","SYS_C00127076","是否结算 0-是 1-否","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","REMARK","VARCHAR2","","Y","","备注","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","CHECK_STATUS","NUMBER","","N","SYS_C00127077","核实状态 1-未核实 2-系统核实 3-人工核实","京东未结算订单"
"ESALES_NOT_SETTLE_ORDER","DIFF_REASON","NUMBER","","Y","","差异原因 20-等待核实原因 1-成功转退 2-通知下游失败 3-京东多人充值 4-金额不一致 9-其他原因 (可继续补充原因)","京东未结算订单"
"JD_FUND_CHANGE_DETAIL","ID","NUMBER","","N","SYS_C00127078","编号","下游资金变动"
"JD_FUND_CHANGE_DETAIL","CHANNEL_NO","VARCHAR2","","N","SYS_C00127079","下游渠道编号","下游资金变动"
"JD_FUND_CHANGE_DETAIL","ORDER_NO","VARCHAR2","","Y","","订单编号","下游资金变动"
"JD_FUND_CHANGE_DETAIL","DOWN_ORDER_NO","VARCHAR2","","Y","","下游订单号","下游资金变动"
"JD_FUND_CHANGE_DETAIL","BEGIN_BALANCE","NUMBER","","N","SYS_C00127080","初始余额","下游资金变动"
"JD_FUND_CHANGE_DETAIL","CHANGE_MONEY","NUMBER","","N","SYS_C00127081","变更金额","下游资金变动"
"JD_FUND_CHANGE_DETAIL","CHANGE_TYPE","NUMBER","","N","SYS_C00127082","变更类型 1-收入 2-支出","下游资金变动"
"JD_FUND_CHANGE_DETAIL","TRADE_NO","VARCHAR2","","Y","","交易流水号","下游资金变动"
"JD_MANUAL_SETTLE_ORDER","DOWN_ORDER_NO","VARCHAR2","","N","SYS_C00127083","下游订单号","京东手动结算订单"
"JD_MANUAL_SETTLE_ORDER","ORDER_REQUEST_TIME","DATE","","N","SYS_C00127084","下单时间","京东手动结算订单"
"JD_MANUAL_SETTLE_ORDER","ORDER_FINISH_TIME","DATE","","N","SYS_C00127085","订单完成时间","京东手动结算订单"
"JD_MANUAL_SETTLE_ORDER","ORDER_STATUS","NUMBER","","N","SYS_C00127086","订单状态","京东手动结算订单"
"JD_MANUAL_SETTLE_ORDER","ORDER_FACE","NUMBER","","N","SYS_C00127087","订单面值","京东手动结算订单"
"JD_MANUAL_SETTLE_ORDER","DEDUCT_MONEY","NUMBER","","N","SYS_C00127088","扣款金额","京东手动结算订单"
"JD_MANUAL_SETTLE_ORDER","PARENT_ORDER_NO","VARCHAR2","","N","SYS_C00127089","父订单编号","京东手动结算订单"
"JD_MANUAL_SETTLE_ORDER","SETTLE_STATUS","NUMBER","","N","SYS_C00127090","订单状态 0-成功 20-等待结算","京东手动结算订单"
"JD_TRADE_DETAIL_DOWN","FILE_BATCH","VARCHAR2","","N","SYS_C00127091","文件批次","京东交易详情"
"JD_TRADE_DETAIL_DOWN","CHANNEL_NO","VARCHAR2","","N","SYS_C00127092","渠道编号","京东交易详情"
"JD_TRADE_DETAIL_DOWN","ORDER_NO","VARCHAR2","","Y","","系统订单号","京东交易详情"
"JD_TRADE_DETAIL_DOWN","DOWN_ORDER_NO","VARCHAR2","","Y","","下游订单号","京东交易详情"
"JD_TRADE_DETAIL_DOWN","TRADE_DATE","DATE","","Y","","交易时间","京东交易详情"
"JD_TRADE_DETAIL_DOWN","FACE","NUMBER","","Y","","面值","京东交易详情"
"JD_TRADE_DETAIL_DOWN","SUC_FEE","NUMBER","","Y","","结算金额","京东交易详情"
"JD_TRADE_DETAIL_DOWN","TASK_ID","NUMBER","","Y","","对账任务编号","京东交易详情"
"JD_TRADE_DETAIL_DOWN","SETTLE_STATUS","NUMBER","","N","SYS_C00127093","检查结算 0-已结算 1-未结算","京东交易详情"
"JD_TRADE_DETAIL_DOWN","TRADE_NO","VARCHAR2","","Y","","交易流水号","京东交易详情"
"MR_CARRIER_INFO","CARRIER_NO","VARCHAR2","","N","SYS_C00127094","运营商编号","游戏运营商信息"
"MR_CARRIER_INFO","CARRIER_NO","VARCHAR2","","N","PK_MR_CARRIER_INFO","运营商编号","游戏运营商信息"
"MR_CARRIER_INFO","CARRIER_NAME","VARCHAR2","","N","SYS_C00127095","运营商名称","游戏运营商信息"
"MR_CARRIER_INFO","CARRIER_TYPE","NUMBER","1","N","SYS_C00127096","目前该字段已经作废，移到业务编号表中","游戏运营商信息"
"MR_CARRIER_INFO","RECHARGE_TYPE","NUMBER","2","N","SYS_C00127097","充值类型,卡密，Esales","游戏运营商信息"
"MR_CARRIER_INFO","RECHARGE_URL","VARCHAR2","","Y","","充值地址","游戏运营商信息"
"MR_CARRIER_INFO","QUERY_URL","VARCHAR2","","Y","","查询地址","游戏运营商信息"
"MR_CARRIER_INFO","SUPPORT_GAME","NUMBER","1","Y","","是否支持按游戏充值","游戏运营商信息"
"MR_CARRIER_INFO","SUPPORT_SERVER","NUMBER","1","Y","","是否支持充值服务器","游戏运营商信息"
"MR_CARRIER_INFO","RECHARGE_TIMEOUT","NUMBER","20","Y","","充值超时时长","游戏运营商信息"
"MR_CARRIER_INFO","DELIVERY_RESERVED","NUMBER","20","Y","","发货预留时长","游戏运营商信息"
"MR_CARRIER_INFO","MACARD_TIMEOUT","NUMBER","20","Y","","撮卡超时时长","游戏运营商信息"
"MR_CARRIER_INFO","ROBOT_CODE","VARCHAR2","","N","SYS_C00127098","机器人标识","游戏运营商信息"
"MR_CARRIER_INFO","OPERATOR","VARCHAR2","","Y","","操作人","游戏运营商信息"
"MR_CARRIER_INFO","UPDATE_DATE","DATE","","N","SYS_C00127099","操作时间","游戏运营商信息"
"MR_CARRIER_INFO","STATUS","NUMBER","1","N","SYS_C00127100","状态:0:上架1:下架","游戏运营商信息"
"MR_CARRIER_INFO","USE_RULES","NUMBER","1","Y","","强制使用规则 0:启动 1:禁用","游戏运营商信息"
"MR_CARRIER_INFO","RECHARGE_BIND_MODE","NUMBER","2","Y","","绑定模式：0-串行  1-并行","游戏运营商信息"
"MR_CARRIER_INFO","SUPPORT_SPLIT_CARD","NUMBER","1","Y","","是否支持拆卡:0-拆卡 1-不拆卡","游戏运营商信息"
"MR_CARRIER_INFO","IS_MATCH_FACE","NUMBER","1","Y","","是否匹配面值:0-匹配 1-不匹配","游戏运营商信息"
"MR_CARRIER_INFO","MATCH_RATIO_LOWER","NUMBER","","Y","","卡对订单的最低比例限制","游戏运营商信息"
"MR_CARRIER_INFO","USE_PROXY","NUMBER","1","Y","","是否使用代理IP.0:使用，1：不使用","游戏运营商信息"
"MR_CARRIER_INFO","CARRIER_SORT","NUMBER","","Y","","排序","游戏运营商信息"
"MR_CARRIER_INFO","SERVICE_PHONE","VARCHAR2","","Y","","服务电话","游戏运营商信息"
"MR_CARRIER_INFO","IS_VIRTUAL","NUMBER","1","Y","","是否虚拟运营商","游戏运营商信息"
"ST_SYSTEM_CITY","CITY_ID","VARCHAR2","","N","SYS_C00127101","市编号","城市表"
"ST_SYSTEM_CITY","CITY_ID","VARCHAR2","","N","PK_ST_SYSTEM_CITY","市编号","城市表"
"ST_SYSTEM_CITY","CITY_NAME","VARCHAR2","","Y","","市名称","城市表"
"ST_SYSTEM_CITY","STATUS","NUMBER","1","Y","","状态","城市表"
"ST_SYSTEM_CITY","PROVINCE_ID","VARCHAR2","","Y","","省Id","城市表"
"ST_SYSTEM_CITY","CODE","VARCHAR2","","Y","","编号","城市表"
"ST_SYSTEM_PROVINCE","PROVINCE_ID","VARCHAR2","","N","SYS_C00127102","省编号","省份信息"
"ST_SYSTEM_PROVINCE","PROVINCE_ID","VARCHAR2","","N","PK_DZ_SYSTEM_PROVINCE","省编号","省份信息"
"ST_SYSTEM_PROVINCE","PROVINCE_NAME","VARCHAR2","","N","SYS_C00127103","省名称","省份信息"
"ST_SYSTEM_PROVINCE","STATUS","NUMBER","1","N","SYS_C00127104","状态","省份信息"
"ST_SYSTEM_PROVINCE","SORT_ID","NUMBER","2","N","SYS_C00127105","排序编号","省份信息"
"TBL_PART_CONFIG","OWNER","VARCHAR2","","N","SYS_C00127141","分区表所属用户","分区维护配置表"
"TBL_PART_CONFIG","OWNER","VARCHAR2","","N","PK_OWNER_TABLENAME","分区表所属用户","分区维护配置表"
"TBL_PART_CONFIG","TABLE_NAME","VARCHAR2","","N","SYS_C00127142","分区表名","分区维护配置表"
"TBL_PART_CONFIG","TABLE_NAME","VARCHAR2","","N","PK_OWNER_TABLENAME","分区表名","分区维护配置表"
"TBL_PART_CONFIG","PART_INTERVAL","NUMBER","","N","SYS_C00127143","分区间隔,1--小时;2--天;3--月","分区维护配置表"
"TBL_PART_CONFIG","PART_TYPE","VARCHAR2","","N","SYS_C00127144","主分区的分区类型:range_date;range_number;list","分区维护配置表"
"TBL_PART_CONFIG","MAIN_PART_COL","VARCHAR2","","N","SYS_C00127145","主分区的分区字段名","分区维护配置表"
"TBL_PART_CONFIG","STORAGE_TBS","VARCHAR2","","N","SYS_C00127146","存放的标空间","分区维护配置表"
"TBL_PART_CONFIG","LAST_MAX_PART","VARCHAR2","","Y","","上次的最大分区名","分区维护配置表"
"TBL_PART_CONFIG","CUR_MAX_PART","VARCHAR2","","Y","","当前的最大分区名","分区维护配置表"
"TBL_PART_CONFIG","CONFIG_STATUS","NUMBER","","N","SYS_C00127147","配置状态,1--有效;0--无效","分区维护配置表"
"TBL_PART_CONFIG","UPDATE_TIME","DATE","","Y","","记录更新时间","分区维护配置表"
"TBL_PART_CONFIG","CREATE_TIME","DATE","","Y","","记录创建时间","分区维护配置表"
"ST_FUND_CHANGE_DOWN","RECORD_ID","NUMBER","","Y","","编号","下游资金变动"
"ST_FUND_CHANGE_DOWN","ORDER_NO","VARCHAR2","","Y","","订单号","下游资金变动"
"ST_FUND_CHANGE_DOWN","CHANGE_TYPE","NUMBER","","Y","","变动类型","下游资金变动"
"ST_FUND_CHANGE_DOWN","CHANNEL_NO","VARCHAR2","","Y","","渠道编号","下游资金变动"
"ST_FUND_CHANGE_DOWN","CHANGE_COUNT","NUMBER","","Y","","变动金额","下游资金变动"
"ST_FUND_CHANGE_DOWN","COMPARE_STATUS","NUMBER","","Y","","对比状态","下游资金变动"
"DZ_FUND_DOWN","RECORD_ID","NUMBER","20","N","SYS_C00127148","资金变动编号",""
"DZ_FUND_DOWN","ORDER_NO","VARCHAR2","","Y","","订单号",""
"DZ_FUND_DOWN","CHANGE_COUNT","NUMBER","20","N","SYS_C00127149","变动金额",""
"DZ_FUND_DOWN","CHANNEL_NO","VARCHAR2","","N","SYS_C00127150","下游渠道",""
"DZ_FUND_DOWN","CHANNEL_TYPE","NUMBER","1","N","SYS_C00127151","渠道类型",""
"DZ_FUND_DOWN","CHANGE_TIME","DATE","","N","SYS_C00127152","变动时间",""
"DZ_FUND_DOWN","PARTNER_ORDER_NO","VARCHAR2","","Y","","下游订单号",""
"DZ_FUND_DOWN","CHANGE_TYPE","NUMBER","","Y","","变动类型2-扣款,3-退款",""
"DZ_FUND_DOWN","MARGER_ORDER_NO","VARCHAR2","","Y","","融合订单号",""
"DZ_FUND_DOWN","COMPARE_STATUS","NUMBER","","Y","","比对状态",""
"DZ_FUND_DOWN_CHANNEL","CHANNEL_NO","VARCHAR2","","Y","","渠道编号","需要同步资金变动下游渠道"
"DZ_FUND_DOWN_CHANNEL","CHANNEL_NAME","VARCHAR2","","Y","","渠道名称","需要同步资金变动下游渠道"
"DZ_FUND_DOWN_CHANNEL","STATUS","NUMBER","","Y","","状态","需要同步资金变动下游渠道"
"DZ_ESALES_CHANNEL_MATCH","CHANNEL_NO","VARCHAR2","","N","SYS_C00126977","渠道编号",""
"DZ_ESALES_CHANNEL_MATCH","ESALES_CHANNEL_NO","VARCHAR2","","N","SYS_C00126978","系统渠道编号",""
"DZ_ESALES_CHANNEL_MATCH","ESALES_CHANNEL_NAME","VARCHAR2","","N","SYS_C00126979","系统渠道名称",""
"DZ_ESALES_CHANNEL_MATCH","UP_OR_DOWN","NUMBER","","N","SYS_C00126980","上游渠道or下游渠道 1-下游 2-上游",""
"DZ_ESALES_CHANNEL_MATCH","ID","NUMBER","","N","P_ID","编号",""
"DZ_ESALES_CHANNEL_MATCH","ID","NUMBER","","N","SYS_C00126981","编号",""
"DZ_FUND_TASK_UP","ID","NUMBER","","N","SYS_C00126988","编号","上游资金变动任务表"
"DZ_FUND_TASK_UP","CHANNEL_NO","VARCHAR2","","N","SYS_C00126989","渠道编号","上游资金变动任务表"
"DZ_FUND_TASK_UP","CHANGE_TIME","DATE","","N","SYS_C00126990","变动时间","上游资金变动任务表"
"DZ_FUND_TASK_UP","FILE_NAME","VARCHAR2","","N","SYS_C00126991","文件名","上游资金变动任务表"
"DZ_FUND_TASK_UP","START_TOTAL_BALANCE","NUMBER","","N","SYS_C00126992","开始余额","上游资金变动任务表"
"DZ_FUND_TASK_UP","TOTAL_CHANGE","NUMBER","","N","SYS_C00126993","变动总金额","上游资金变动任务表"
"DZ_FUND_TASK_UP","END_TOTAL_BALANCE","NUMBER","","N","SYS_C00126994","最后余额","上游资金变动任务表"
"DZ_FUND_TASK_UP","DEAL_STATUS","NUMBER","","N","SYS_C00126995","处理状态 10-等待上传 20-等待导入 30-导入中 0-导入成功 90-失败","上游资金变动任务表"
"DZ_FUND_TASK_UP","CREATE_TIME","DATE","","N","SYS_C00126996","创建时间","上游资金变动任务表"
"DZ_FUND_TASK_UP","FINISH_DATE","DATE","","Y","","完成时间","上游资金变动任务表"
"DZ_FUND_TASK_UP","EXCUTE_TIME","DATE","","N","SYS_C00126997","任务执行时间","上游资金变动任务表"
"DZ_FUND_TASK_UP","CHANNEL_NAME","VARCHAR2","","Y","","渠道名称","上游资金变动任务表"
"DZ_FUND_TASK_UP","ROBOT_IP","VARCHAR2","","Y","","导入IP","上游资金变动任务表"
"DZ_NOTSUC_ORDER_LIST","CHECK_STATE","NUMBER","2","Y","","0-已检查;1-未检查",""
"DZ_NOTSUC_ORDER_LIST","CHECK_RESULT","NUMBER","2","Y","","10-未检查",""
"DZ_SYSTEM_DICTIONARY","DICID","NUMBER","20","N","SYS_C00126999","数据字典","数据字典表"
"DZ_SYSTEM_DICTIONARY","DICID","NUMBER","20","N","PK_DZ_SYSTEM_DICTIONARY","数据字典","数据字典表"
"DZ_SYSTEM_DICTIONARY","NAME","VARCHAR2","","N","SYS_C00127000","字典名称","数据字典表"
"DZ_SYSTEM_DICTIONARY","VALUE","NUMBER","","N","SYS_C00127001","字典值","数据字典表"
"DZ_SYSTEM_DICTIONARY","TYPE","VARCHAR2","","N","SYS_C00127002","类型","数据字典表"
"DZ_SYSTEM_DICTIONARY","SHORT","NUMBER","10","Y","","排序","数据字典表"
"DZ_SYSTEM_LOG","ID","NUMBER","20","N","SYS_C00127003","编号","系统日志"
"DZ_SYSTEM_LOG","ID","NUMBER","20","N","PK_DZ_SYSTEM_LOG","编号","系统日志"
"DZ_SYSTEM_LOG","OBJECT_NAME","VARCHAR2","","Y","","名称","系统日志"
"DZ_SYSTEM_LOG","ERROR_LEVEL","NUMBER","20","Y","","错误级别","系统日志"
"DZ_SYSTEM_LOG","ERROR_DESC","VARCHAR2","","Y","","错误消息","系统日志"
"DZ_SYSTEM_LOG","TRACE_INFO","VARCHAR2","","Y","","堆栈信息","系统日志"
"DZ_SYSTEM_LOG","CREATED_TIME","DATE","","Y","","创建时间","系统日志"
"DZ_TRADE_CONFIG_DOWN","CHANNEL_NO","VARCHAR2","","N","SYS_C00127004","渠道编号",""
"DZ_TRADE_CONFIG_DOWN","FILE_PATH","VARCHAR2","","N","SYS_C00127005","文件存放路径",""
"DZ_TRADE_CONFIG_DOWN","USER_NAME","VARCHAR2","","Y","","用户名",""
"DZ_TRADE_CONFIG_DOWN","PASSWORD","VARCHAR2","","Y","","密码",""
"DZ_TRADE_CONFIG_DOWN","STATUS","NUMBER","","N","SYS_C00127006","状态",""
"DZ_TRADE_CONFIG_DOWN","CREATE_TIME","DATE","","Y","","创建时间",""
"DZ_TRADE_CONFIG_DOWN","UPDATE_TIME","DATE","","Y","","更新时间",""
"DZ_TRADE_CONFIG_DOWN","UPDATE_USER","VARCHAR2","","Y","","更新人",""
"DZ_TRADE_CONFIG_DOWN","SCRIPT_PATH","VARCHAR2","","N","SYS_C00127007","脚本路径",""
"DZ_TRADE_CONFIG_DOWN","ROBOT_CODE","VARCHAR2","","Y","","对账机器人",""
"DZ_TRADE_CONFIG_DOWN","CHECK_MODE","NUMBER","","Y","","对账方式 1:系统对账; 2:下游对账(导出)",""
"DZ_TRADE_CONFIG_DOWN","FILENAME_FORMAT","VARCHAR2","","Y","","对账文件命名规则",""
"DZ_TRADE_CONFIG_DOWN","CHANNEL_NAME","VARCHAR2","","N","SYS_C00127008","渠道名称",""
"DZ_TRADE_CONFIG_DOWN","DOWNLOAD_MODE","NUMBER","","N","SYS_C00127009","账单下载方式 1:自动下载  2:手工上传",""
"DZ_TRADE_CONFIG_DOWN","NEED_CHECK","NUMBER","","N","SYS_C00127010","是否需要对账 0:对账 1:不对账",""
"DZ_TRADE_CONFIG_DOWN","COMPARE_TYPE","NUMBER","","N","SYS_C00127011","比对类型 1:下游订单号 2:系统订单号 3:手机号+金额",""
"DZ_TRADE_CONFIG_DOWN","COMPARE_DATE_TYPE","NUMBER","","N","SYS_C00127012","对账周期 1: T-1, 2:T-2; 以此类推",""
"DZ_TRADE_CONFIG_DOWN","CHECK_HOUR","NUMBER","","N","SYS_C00127013","对账时间: 单位(小时) 从零点起算",""
"DZ_TRADE_CONFIG_DOWN","FILE_NAME_DATE_TYPE","NUMBER","","Y","","文件名规则时间周期 同COMPARE_DATE_TYPE",""
"DZ_TRADE_CONFIG_DOWN","CHECK_DISCOUNT","NUMBER","","Y","","是否检查折扣 1:不检查 0:检查",""
"DZ_TRADE_CONFIG_DOWN","BUSINESS_TYPE","NUMBER","","Y","","业务类型",""
"DZ_TRADE_CONFIG_UP","CHANNEL_NO","VARCHAR2","","N","SYS_C00127014","渠道编号",""
"DZ_TRADE_CONFIG_UP","CHANNEL_NO","VARCHAR2","","N","PK_CHANNEL_NO","渠道编号",""
